"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,286,90,1,0,27,28,629,48,48,48,46,48,48,0.06,562,642
2,477,222,0,0,70,70,568,52,52,51,48,52,52,0.35,558,582
3,581,243,2,0,103,105,589,47,47,47,47,47,47,0.6,585,629
4,1776,659,1,0,130,131,620,63,63,63,63,63,63,0.71,585,633
5,1371,575,2,0,129,131,573,63,63,63,62,63,63,0.76,588,597
6,2917,981,2,0,120,122,634,45,45,45,45,45,45,0.44,594,660
7,1135,439,0,0,140,138,601,68,68,68,68,68,68,0.35,566,636
8,1348,528,0,1,137,138,594,54,54,54,54,54,54,0.7,603,648
9,1734,791,3,0,144,147,588,69,67,66,67,67,69,0.67,583,604
10,2292,1201,3,0,117,120,563,62,62,62,62,62,62,0.69,550,538
11,75,18,0,0,10,10,693,8,8,8,8,8,8,0,0,691
12,1947,1151,3,0,137,140,524,54,54,54,54,54,54,0.74,547,607
13,2566,1514,1,0,183,184,544,51,50,50,50,50,51,0.74,548,578
14,1182,588,4,0,171,175,567,62,62,62,62,62,62,0.55,553,595
15,1648,725,1,0,136,137,582,57,56,56,56,56,57,0.57,562,589
16,2446,874,1,0,118,119,623,47,47,47,47,47,47,0.15,589,658
17,1483,674,6,0,125,131,566,58,58,58,58,58,58,0.78,564,610
18,839,318,4,0,88,92,610,53,50,50,50,50,53,0.38,596,627
19,1252,473,1,0,130,131,606,50,50,50,49,50,50,0.2,560,635
20,1842,848,3,0,136,139,570,50,48,48,48,48,50,0.58,560,640
21,893,445,0,0,125,125,562,55,53,53,53,53,55,0.25,549,599
22,715,249,1,0,87,88,622,60,60,60,60,60,60,0.12,549,638
23,1525,840,1,1,117,119,541,80,72,71,71,71,81,0.57,517,579
24,1852,1013,0,0,158,158,547,61,57,57,57,57,61,0.65,538,567
25,2650,1173,3,0,132,135,577,55,55,55,52,55,56,0.69,577,613
26,889,383,2,0,102,104,569,61,61,61,61,61,61,0.46,542,623
27,950,309,1,0,94,95,628,57,57,57,57,57,57,0.09,563,676
28,1731,556,2,0,114,116,608,55,53,53,53,53,55,0.47,594,690
29,788,236,1,0,82,83,652,55,50,50,50,50,55,0.4,627,703
30,523,145,0,0,55,55,661,53,50,50,50,50,53,0.18,618,686
31,704,245,0,0,102,102,625,54,52,52,52,52,54,0.27,578,649
32,425,181,1,0,41,42,581,47,47,47,47,47,47,0.49,552,592
33,293,111,1,0,27,28,561,39,38,38,38,38,39,0.18,569,598
34,1316,473,2,0,147,149,596,47,46,46,45,46,47,0.22,501,595
35,986,271,2,0,84,86,640,58,58,58,58,58,58,0.26,637,672
36,1349,484,1,0,125,126,622,66,66,66,66,66,66,0.53,592,645
37,1268,406,3,0,121,124,631,47,45,45,45,45,47,0.24,615,656
38,357,213,2,0,81,83,529,45,45,45,45,45,45,0.27,472,534
39,286,182,8,0,48,56,537,56,56,56,56,56,56,0.32,484,534
40,341,215,3,0,80,83,511,57,57,57,57,57,57,0.33,464,543
41,677,398,1,0,100,101,537,54,54,54,53,54,54,0.31,504,544
42,824,576,0,0,148,148,507,53,53,53,53,53,53,0.43,503,543
43,1118,530,8,0,128,135,581,52,52,52,52,52,52,0.23,512,565
44,1412,835,8,0,143,150,530,60,60,60,16,60,60,0.37,519,558
45,1220,679,21,0,108,129,558,51,51,51,41,51,51,0.31,514,571
46,1314,818,11,0,144,155,547,57,56,57,57,57,57,0.64,522,540
47,1364,903,7,0,163,170,502,53,53,53,53,53,53,0.53,511,560
48,1270,681,0,0,137,137,553,56,56,56,56,56,56,0.18,527,575
49,651,398,2,0,127,129,537,53,53,53,53,53,53,0.15,512,561
50,974,453,1,0,122,122,582,55,55,55,55,55,55,0.22,528,599
51,882,581,3,0,128,131,519,55,55,55,55,55,55,0.44,501,548
52,770,529,1,0,122,123,513,50,50,50,50,50,50,0.3,504,535
53,943,556,0,0,97,96,539,61,61,61,61,61,61,0.23,520,541
54,797,240,1,0,58,59,654,59,59,59,59,59,59,0.29,623,690
55,197,49,0,0,29,29,709,15,15,15,15,15,15,0,0,737
56,736,163,1,0,60,61,694,52,51,51,51,51,52,0.18,572,724
57,1514,569,0,0,125,125,604,55,51,51,51,51,55,0.49,589,653
58,1527,654,0,0,135,135,598,52,52,52,52,52,52,0.63,584,618
59,379,111,1,0,38,32,648,46,46,45,46,46,46,0.02,570,676
60,2057,824,2,0,126,126,614,54,54,54,54,54,54,0.61,585,637
61,2042,1014,1,0,149,150,562,55,55,55,55,55,55,0.8,555,620
62,1729,1054,5,0,153,158,528,66,55,55,55,55,69,0.85,521,556
63,1529,725,5,0,116,121,571,66,58,58,58,58,66,0.53,553,574
64,1561,725,10,0,142,151,584,55,53,53,53,53,55,0.43,550,612
65,8,6,0,0,2,2,423,2,2,2,2,2,2,1,530,0
66,1327,421,1,0,118,119,638,53,53,53,53,53,53,0.32,597,623
67,1093,394,2,0,122,123,619,55,55,55,55,55,55,0.22,598,614
68,1717,754,1,0,146,147,577,57,56,55,56,56,57,0.68,579,631
69,921,485,1,0,130,131,560,60,60,60,60,60,60,0.17,501,566
70,324,79,0,0,33,33,680,34,34,34,34,34,34,0,0,708
71,248,60,1,0,22,23,707,37,37,37,37,37,37,0.08,505,669
72,352,82,0,0,37,37,712,45,45,45,43,45,45,0.31,637,709
73,103,21,0,0,7,7,754,15,15,15,14,15,15,0.33,612,752
74,1771,866,4,0,119,123,530,53,53,53,53,53,53,0.43,519,550
75,294,115,1,0,41,42,618,46,45,45,44,45,46,0.76,612,691
76,878,464,5,0,129,133,559,57,57,56,53,57,57,0.75,557,545
77,681,338,1,1,94,96,579,55,54,54,54,54,55,0.85,553,628
78,1183,681,2,0,113,115,554,64,57,57,56,57,64,0.77,528,537
80,743,243,0,0,67,67,662,54,54,54,54,54,54,0.2,626,638
81,447,166,0,0,58,58,639,56,56,56,56,56,56,0.79,599,665
82,2410,1727,0,1,121,122,520,61,46,46,46,46,61,0.57,564,530
83,1669,888,0,0,130,130,566,56,56,56,56,56,56,0.18,549,584
84,21,6,0,0,1,1,645,5,5,5,5,5,5,0,0,717
85,301,105,1,0,49,50,658,31,31,31,31,31,31,0.58,633,656
86,60,18,0,0,1,1,690,17,17,17,17,17,17,0.24,688,677
87,108,30,0,0,9,9,682,20,21,21,21,21,21,0.05,640,659
88,562,187,0,0,59,59,607,50,49,49,49,49,50,0.14,570,587
89,874,445,4,0,122,126,556,53,53,53,53,53,53,0.74,555,603
90,1057,578,6,0,120,126,540,50,50,50,50,50,50,0.76,546,579
91,208,77,0,0,23,23,637,36,36,36,36,36,36,0.64,589,624
92,750,399,1,0,132,128,555,57,57,57,57,57,57,0.77,559,569
93,379,130,0,0,46,46,599,52,52,52,52,52,52,0.19,584,625
94,2189,1859,0,0,44,44,504,222,50,50,50,50,222,0.3,467,475
95,29,8,0,0,3,3,670,5,5,5,5,5,5,0,0,656
96,1209,438,0,0,134,134,605,49,49,49,49,49,49,0.31,598,603
97,478,214,1,0,70,71,591,36,36,36,36,36,36,0.69,597,608
98,304,110,1,0,26,27,658,51,51,51,51,51,51,0.57,614,656
99,1629,607,3,0,137,140,607,55,55,55,55,55,55,0.15,560,624
100,1578,1019,3,0,148,151,527,56,56,56,56,56,56,0.36,528,536
101,454,329,0,0,87,87,500,53,53,53,53,53,53,0.38,516,545
102,982,569,0,0,139,139,545,52,52,52,52,52,52,0.33,526,549
103,1806,1092,0,0,135,135,536,55,55,55,55,55,55,0.25,530,563
104,520,125,0,0,31,31,684,51,51,51,51,51,51,0.35,642,697
105,1859,943,1,0,141,142,509,53,53,53,53,53,53,0.38,575,569
106,894,449,0,0,115,115,567,59,59,59,59,59,59,0.69,555,592
107,401,124,1,0,43,44,659,38,38,38,38,38,38,0.5,643,674
108,2798,2103,2,1,117,120,539,58,58,57,57,58,59,0.67,584,555
109,3470,2810,3,0,127,130,548,52,52,52,52,52,52,0.56,528,531
110,276,81,1,0,16,17,638,50,50,50,45,50,50,0.06,605,666
111,1268,663,0,0,122,122,540,54,54,54,36,54,54,0.5,539,549
111,119158,58415,208,5,10757,10947,,5734,5471,5465,5371,5471,5741,,,
