"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,675,418,0,0,123,123,531,55,55,55,55,55,55,0.55,504,568
2,327,75,0,0,26,26,722,42,42,42,42,42,42,0.02,695,732
3,470,139,0,0,56,56,675,51,51,51,51,51,51,0.06,658,662
4,495,150,0,0,56,56,652,50,50,50,50,50,50,0.1,622,686
5,1322,650,1,0,120,121,583,56,56,56,56,56,56,0.7,557,658
6,724,281,0,0,127,127,596,46,45,45,43,45,47,0.13,529,626
7,2502,1409,0,0,153,150,577,149,56,56,56,56,149,0.27,529,582
8,1092,395,0,0,135,135,625,45,45,45,45,45,45,0.07,585,626
9,680,353,1,0,115,115,553,50,48,48,49,49,50,0.58,544,594
10,682,365,0,0,126,126,549,56,56,56,56,56,56,0.77,543,594
11,613,199,2,0,62,64,643,54,54,54,54,54,54,0.07,609,666
12,300,80,1,0,29,30,684,44,44,44,44,44,44,0.05,598,688
13,1828,1258,2,0,144,146,510,56,53,53,53,53,56,0.77,520,548
14,723,396,1,0,108,109,536,57,57,57,57,57,57,0.75,558,569
15,1864,976,5,0,137,142,552,51,50,51,51,51,51,0.52,558,573
16,2524,1386,4,0,156,160,547,57,57,57,57,57,57,0.61,536,547
17,1893,754,1,0,167,168,618,54,52,52,53,53,54,0.23,558,643
18,1162,780,3,0,121,124,515,53,53,53,53,53,53,0.85,503,617
19,2730,1439,3,0,152,155,562,61,55,55,55,55,61,0.55,558,574
20,422,131,0,0,24,24,659,47,45,45,45,45,47,0.09,614,656
21,2475,1467,1,0,118,119,548,69,53,53,53,53,69,0.58,570,627
22,1333,558,2,0,120,122,615,54,54,54,54,54,54,0.41,557,630
23,1798,1288,0,0,141,141,529,67,52,52,52,52,67,0.15,541,560
24,1272,486,1,0,126,126,615,51,51,51,51,51,51,0.31,590,626
25,281,132,0,0,32,32,620,29,23,23,23,23,29,0.26,628,623
26,2508,1418,1,0,119,120,542,53,53,53,53,53,53,0.7,526,569
27,991,0,1,0,136,137,605,49,49,49,49,49,50,0.37,544,635
28,2012,1163,3,0,121,124,567,53,53,53,53,53,53,0.6,547,578
29,723,488,0,0,138,137,559,47,47,46,47,47,47,0.49,563,628
30,841,465,0,0,109,109,572,51,41,41,40,41,51,0.37,563,589
31,333,133,3,0,36,39,591,50,50,50,50,50,50,0.48,555,624
32,332,100,1,0,14,15,659,49,49,49,49,49,49,0.22,579,674
33,2191,1328,0,0,114,114,536,73,52,52,52,52,73,0.27,545,538
34,2328,1182,0,0,120,120,560,50,50,50,50,50,50,0.26,553,586
35,781,370,0,0,124,124,587,52,52,52,52,52,52,0.52,570,600
36,2133,1319,0,0,141,141,572,61,48,47,48,48,61,0.48,523,528
37,520,200,0,0,50,50,605,26,26,26,26,26,26,0.19,597,605
38,124,21,0,0,7,7,721,13,13,13,13,13,13,0.15,738,800
39,2277,1178,1,0,143,143,598,58,56,56,56,56,58,0.36,552,561
40,1334,919,3,0,132,134,527,49,49,49,49,49,49,0.71,519,570
41,2025,1439,1,0,133,134,525,51,51,51,51,51,51,0.59,541,538
42,1118,514,7,0,121,128,578,56,56,56,56,56,56,0.55,563,619
43,942,617,0,0,118,118,528,58,58,57,58,58,58,0.66,508,535
44,1201,424,2,0,135,137,621,54,54,54,54,54,54,0.3,553,593
45,647,185,0,0,58,58,675,51,51,51,51,51,51,0.14,604,665
46,665,178,2,0,52,54,649,45,45,45,45,45,45,0,0,704
47,1823,1092,1,0,129,130,523,49,48,49,49,49,49,0.6,517,531
48,1376,664,1,0,139,140,569,62,62,62,62,62,62,0.35,559,581
49,2902,2334,0,0,148,147,511,59,58,58,58,58,59,0.47,522,535
50,499,187,1,0,18,19,647,51,51,51,51,51,51,0.16,574,639
51,1287,740,0,0,121,121,548,45,45,45,45,45,45,0.47,559,553
52,242,88,1,0,25,26,615,53,53,53,53,53,53,0.51,609,681
53,21,6,0,0,4,4,703,2,2,2,2,2,2,0,0,715
54,1649,654,3,0,130,133,588,45,45,45,44,45,45,0.16,641,597
55,752,229,0,0,92,92,640,42,42,42,42,42,42,0.38,643,670
56,991,389,1,0,97,98,608,47,47,47,47,47,47,0.3,584,601
57,698,279,0,0,96,96,616,40,40,40,40,40,40,0.7,618,658
58,2401,1651,2,0,129,131,523,56,49,49,49,49,56,0.49,528,514
59,976,461,8,0,121,129,558,51,51,51,51,51,51,0.55,547,601
60,683,226,2,0,77,79,648,52,52,52,52,52,52,0.5,633,659
61,2773,1874,1,0,149,150,530,57,54,54,54,54,57,0.31,529,517
62,142,62,0,0,11,11,554,22,19,19,19,19,22,0.21,651,595
63,3030,2071,0,0,108,108,538,56,48,48,48,48,56,0.4,514,530
64,1569,610,2,0,127,129,608,56,56,56,56,56,56,0.63,589,649
65,738,240,0,0,62,62,646,51,51,51,51,51,51,0.29,605,668
66,426,168,0,0,49,49,576,54,54,54,54,54,54,0.17,521,602
67,1671,863,0,0,146,146,548,50,50,50,50,50,50,0.36,543,606
68,326,124,0,0,35,35,644,52,48,48,48,48,52,0.19,468,629
69,659,281,0,0,74,74,575,43,42,42,42,42,43,0.12,588,611
70,2465,1607,1,0,148,149,530,60,54,54,54,54,60,0.44,554,576
71,74,27,1,0,8,9,629,18,18,18,18,18,18,0.33,613,651
72,2958,2071,0,0,153,153,515,58,57,57,57,57,58,0.47,538,553
73,1212,430,0,0,130,130,637,46,46,46,46,46,46,0.22,567,606
74,2208,933,1,2,137,140,586,60,60,60,58,60,60,0.27,606,619
75,2945,1818,1,0,104,105,545,57,56,56,56,56,57,0.21,525,561
76,839,508,2,0,129,131,537,53,53,53,53,53,53,0.55,524,553
77,3428,2904,1,0,147,146,516,53,51,51,51,51,53,0.37,526,555
78,1066,617,9,0,143,152,557,56,56,56,56,56,56,0.66,557,576
79,1417,1120,1,0,169,170,486,50,50,50,50,50,50,0.58,494,532
80,594,284,0,0,116,116,558,51,51,51,51,51,51,0.47,537,555
81,435,178,0,0,68,68,604,51,51,51,51,51,51,0.49,596,648
82,703,344,2,0,111,113,560,57,57,57,57,57,57,0.46,533,630
83,623,314,1,0,88,89,565,53,53,53,53,53,53,0.66,548,661
84,1553,582,1,0,136,137,603,53,53,53,53,53,53,0.45,593,609
85,3100,1994,1,0,193,194,520,80,56,56,56,56,80,0.18,525,546
86,367,87,0,0,17,17,704,46,46,46,46,46,46,0.13,604,688
87,297,103,0,0,25,25,586,52,52,52,52,52,52,0.08,668,639
88,169,59,0,0,18,18,590,30,28,28,28,28,30,0.18,490,622
89,999,486,0,0,123,123,537,57,57,57,57,57,57,0.42,564,545
90,1153,779,0,0,183,183,537,51,51,51,51,51,51,0.33,509,546
91,1475,1020,0,0,165,165,513,52,52,52,52,52,52,0.31,500,520
92,2471,1434,1,0,127,128,535,51,51,51,51,51,51,0.37,537,550
93,2376,1289,0,0,141,141,551,55,55,55,55,55,55,0.31,535,565
94,1897,923,1,0,152,153,558,52,52,52,52,52,52,0.23,523,561
95,1420,819,0,0,137,137,549,49,49,49,48,49,49,0.31,517,569
96,2204,1379,8,0,155,163,537,55,55,55,55,55,55,0.16,512,551
97,1531,832,0,0,149,149,540,56,56,56,56,56,56,0.27,537,558
98,1843,1096,3,0,135,138,530,58,58,58,58,58,58,0.31,526,553
99,2276,1427,6,0,164,169,529,54,54,54,54,54,54,0.39,511,564
100,1015,598,4,0,140,144,529,56,55,55,55,55,57,0.27,507,549
101,1499,923,5,0,154,159,519,50,50,50,50,50,50,0.34,503,533
102,1520,956,7,0,118,125,534,48,48,48,48,48,48,0.38,494,547
103,988,565,7,0,128,135,542,52,52,52,52,52,52,0.44,501,555
104,1342,669,5,0,135,140,541,54,52,52,52,52,54,0.19,533,583
105,771,474,2,0,132,134,534,58,58,58,58,58,58,0.28,525,550
106,1185,691,2,0,132,134,535,55,54,54,51,54,55,0.24,503,566
107,889,530,0,0,119,118,542,59,59,59,59,59,59,0.47,515,544
108,1456,814,4,0,151,155,548,52,52,52,52,52,52,0.29,517,567
109,960,653,1,0,126,127,509,50,50,50,50,50,50,0.32,502,537
109,141570,78836,154,2,11888,12031,,5656,5395,5394,5389,5399,5659,,,
